id,first,last,mail,gender,contactInfo,born,state
1,Dud,Ishak,dishak0@NV.com,Male,970-613-261,24/06/2012,Nevada
2,Jolyn,Bragg,jbragg1@VA.com,Genderqueer,614-319-726,18/09/2003,Virginia
3,Sallie,Gaw,sgaw2@CO.com,Female,997-395-927,12/05/1994,Colorado
4,Belle,De Biasi,bdebiasi3@TX.com,Female,592-563-042,08/04/2001,Texas
5,Bing,Filov,bfilov4@AR.com,Male,343-984-115,19/10/1901,Arkansas
6,West,Douberday,wdouberday@CA.com,Male,615-444-431,24/05/1990,California
7,Marion,Northridge,mnorthridge@ID.com,Female,149-504-284,01/04/2020,Idaho
8,Hillary,Whittle,hwhittle7@OH.com,Non-binary,800-103-245,09/05/1993,Ohio
9,Standford,Semour,ssemour8@OK.com,Genderqueer,442-441-931,24/10/2010,Oklahoma
10,Babs,Orridge,borridge9@TX.com,Female,654-596-416,04/08/1999,Texas
11,Arliene,Dunnett,adunnetta@CA.com,Female,799-950-834,10/08/1999,California
12,Anabal,Bick,abickb@MN.com,Female,100-307-692,10/06/2002,Minnesota
13,Thelma,Hoodlass,thoodlassc@AL.com,Female,627-566-671,16/11/1997,Alabama
14,Othello,Sperrett,osperrettd@OK.com,Male,326-887-924,11/08/1990,Oklahoma
15,Kristal,Herche,kherchee@IL.com,Female,928-973-758,12/11/2016,Illinois
16,Archibaldo,Goldberg,agoldbergf@WV.com,Male,733-212-038,27/04/1932,West Virginia
17,Traver,Sutheran,tsutherang@LA.com,Male,231-864-605,30/12/1994,Louisiana
